Ligand,Binding Affinity,rmsd/ub, rmsd/lb
8opq_L5_uff_E=7398.41,-10.4,0.0,0.0
8opq_L5_uff_E=7398.41,-9.9,25.386,17.136
8opq_L5_uff_E=7398.41,-9.9,11.848,2.781
8opq_L5_uff_E=7398.41,-9.7,26.539,19.302
8opq_L5_uff_E=7398.41,-9.5,53.815,44.44
8opq_L5_uff_E=7398.41,-9.4,32.497,27.758
8opq_L5_uff_E=7398.41,-9.2,12.007,2.576
8opq_L5_uff_E=7398.41,-9.2,53.064,44.732
8opq_L5_uff_E=7398.41,-9.1,52.743,44.371
8opq_L6_uff_E=2085.69,-8.3,0.0,0.0
8opq_L6_uff_E=2085.69,-8.2,43.11,38.411
8opq_L6_uff_E=2085.69,-8.2,7.509,3.698
8opq_L6_uff_E=2085.69,-7.8,12.754,7.678
8opq_L6_uff_E=2085.69,-7.7,54.326,50.027
8opq_L6_uff_E=2085.69,-7.6,12.675,5.852
8opq_L6_uff_E=2085.69,-7.5,17.629,10.957
8opq_L6_uff_E=2085.69,-7.1,17.371,12.975
8opq_L6_uff_E=2085.69,-7.0,48.947,45.177
8opq_L8_uff_E=6142.88,-9.5,0.0,0.0
8opq_L8_uff_E=6142.88,-8.8,6.372,2.191
8opq_L8_uff_E=6142.88,-8.5,13.371,7.7
8opq_L8_uff_E=6142.88,-8.5,6.739,2.293
8opq_L8_uff_E=6142.88,-8.5,51.795,45.524
8opq_L8_uff_E=6142.88,-8.3,52.846,48.901
8opq_L8_uff_E=6142.88,-8.2,17.426,12.09
8opq_L8_uff_E=6142.88,-8.1,41.416,37.057
8opq_L8_uff_E=6142.88,-8.1,11.635,6.593
8opq_L9_uff_E=1040.58,-10.1,0.0,0.0
8opq_L9_uff_E=1040.58,-10.1,42.423,36.16
8opq_L9_uff_E=1040.58,-9.7,43.512,37.913
8opq_L9_uff_E=1040.58,-9.7,5.533,2.608
8opq_L9_uff_E=1040.58,-9.6,42.619,37.188
8opq_L9_uff_E=1040.58,-9.3,47.685,41.765
8opq_L9_uff_E=1040.58,-9.3,14.125,4.825
8opq_L9_uff_E=1040.58,-9.3,46.763,40.742
8opq_L9_uff_E=1040.58,-9.3,43.201,37.007
